                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    131,                0.51737,                0.28657,                0.79063,                0.94956,                0.91406,                0.95784,                 0.6717,                0.98874,                0.42625,                0.85261,             0.00024772,             0.00024772,             0.00024772
                    132,                0.50907,                0.28718,                0.79597,                0.92334,                 0.9375,                0.95548,                0.67153,                0.98702,                0.42149,                0.85565,             0.00023671,             0.00023671,             0.00023671
                    133,                0.52848,                0.28269,                 0.7975,                0.93014,                 0.9375,                0.95654,                0.66656,                0.98197,                0.42697,                0.85725,             0.00022571,             0.00022571,             0.00022571
                    134,                 0.5356,                0.29197,                0.79513,                0.93352,                0.94369,                0.95696,                0.66828,                0.96682,                0.41267,                0.85126,             0.00021471,             0.00021471,             0.00021471
                    135,                0.52101,                0.28245,                0.78776,                0.93939,                0.94531,                0.95599,                0.67124,                0.97174,                0.41611,                0.85177,             0.00020371,             0.00020371,             0.00020371
                    136,                0.52413,                0.29116,                0.79394,                   0.94,                0.94531,                0.95933,                0.66702,                 0.9862,                0.41446,                0.85236,             0.00019271,             0.00019271,             0.00019271
                    137,                0.49645,                0.27386,                0.79862,                0.93179,                0.93505,                0.95834,                0.67598,                0.97705,                0.40689,                0.85377,              0.0001817,              0.0001817,              0.0001817
                    138,                0.50524,                0.27597,                0.79382,                0.93078,                0.92453,                0.95631,                0.67314,                0.99483,                0.42685,                0.85434,              0.0001707,              0.0001707,              0.0001707
                    139,                0.48421,                0.27624,                0.79029,                0.92544,                0.93676,                0.95477,                0.67186,                0.99072,                0.42145,                0.85579,              0.0001597,              0.0001597,              0.0001597
                    140,                0.49623,                0.27676,                0.78693,                0.94624,                 0.9375,                0.95453,                0.66461,                0.98899,                0.42578,                 0.8547,              0.0001487,              0.0001487,              0.0001487
                    141,                0.50254,                0.27982,                0.79108,                0.94697,                0.93444,                0.95526,                0.66583,                 0.9909,                 0.4134,                 0.8566,             0.00013769,             0.00013769,             0.00013769
                    142,                0.50732,                0.27409,                0.79218,                0.93788,                0.94531,                0.95589,                 0.6675,                0.98062,                0.41149,                0.85624,             0.00012669,             0.00012669,             0.00012669
                    143,                0.51222,                0.27226,                0.80017,                 0.9332,                0.92969,                0.95197,                0.66344,                0.99333,                0.41111,                0.85743,             0.00011569,             0.00011569,             0.00011569
                    144,                0.46963,                0.26024,                0.78645,                0.93435,                0.92969,                0.95027,                0.66322,                 0.9803,                0.40937,                0.85603,             0.00010469,             0.00010469,             0.00010469
                    145,                0.48297,                0.26502,                0.79217,                0.93991,                0.92969,                0.95514,                0.66393,                0.98413,                0.40884,                0.85422,             9.3685e-05,             9.3685e-05,             9.3685e-05
                    146,                0.47577,                0.25968,                0.79379,                0.93913,                0.93575,                0.95645,                0.66409,                0.98241,                0.40778,                0.85504,             8.2683e-05,             8.2683e-05,             8.2683e-05
                    147,                0.48322,                0.26514,                0.77801,                0.93885,                0.93452,                0.95691,                0.66358,                0.98432,                0.41387,                0.85604,             7.1681e-05,             7.1681e-05,             7.1681e-05
                    148,                0.46856,                0.25705,                0.78839,                0.93872,                0.93493,                0.95514,                0.66421,                0.98208,                0.41619,                0.85701,             6.0679e-05,             6.0679e-05,             6.0679e-05
                    149,                0.47977,                0.25999,                0.79924,                0.93871,                0.93545,                0.95584,                0.66759,                0.97909,                0.41583,                 0.8552,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    150,                0.47473,                0.25633,                0.79111,                0.93865,                0.93534,                0.95611,                0.66816,                0.97953,                0.40958,                0.85558,             3.8674e-05,             3.8674e-05,             3.8674e-05
